"","Region","NEWloc","siteNumber","SiteYear","SiteStationYear","exp","year","yearc","scientificName","recNum","recNum_0","recNum_NA","BUB01","BUB01_NA","nbframe","nbframe_NA","nbframe_0","shootlg","shootlg_0","shootlg_NA"
"61657","Trondelag","BR","BRB","BRB_2008","BRB_1_2008","Browsed","2008",2008,"Vaccinium myrtillus",1,0,0,0,0,29,0,0,13,0,0
"61658","Trondelag","BR","BRB","BRB_2008","BRB_1_2008","Browsed","2008",2008,"Vaccinium myrtillus",2,0,0,0,0,29,0,0,12,0,0
"61659","Trondelag","BR","BRB","BRB_2008","BRB_1_2008","Browsed","2008",2008,"Vaccinium myrtillus",3,0,0,0,0,29,0,0,13,0,0
"61660","Trondelag","BR","BRB","BRB_2008","BRB_1_2008","Browsed","2008",2008,"Vaccinium myrtillus",4,0,0,0,0,29,0,0,11,0,0
"61661","Trondelag","BR","BRB","BRB_2008","BRB_1_2008","Browsed","2008",2008,"Vaccinium myrtillus",5,0,0,0,0,29,0,0,13,0,0
"61662","Trondelag","BR","BRB","BRB_2008","BRB_1_2008","Browsed","2008",2008,"Vaccinium myrtillus",6,0,0,0,0,29,0,0,14,0,0
"61663","Trondelag","BR","BRB","BRB_2008","BRB_1_2008","Browsed","2008",2008,"Vaccinium myrtillus",7,0,0,0,0,29,0,0,20,0,0
"61664","Trondelag","BR","BRB","BRB_2008","BRB_1_2008","Browsed","2008",2008,"Vaccinium myrtillus",8,0,0,0,0,29,0,0,14,0,0
"61665","Trondelag","BR","BRB","BRB_2008","BRB_1_2008","Browsed","2008",2008,"Vaccinium myrtillus",9,0,0,0,0,29,0,0,14,0,0
"61666","Trondelag","BR","BRB","BRB_2008","BRB_1_2008","Browsed","2008",2008,"Vaccinium myrtillus",10,0,0,0,0,29,0,0,18,0,0
"61669","Trondelag","BR","BRB","BRB_2010","BRB_1_2010","Browsed","2010",2010,"Vaccinium myrtillus",1,0,0,1,0,4,0,0,15,0,0
"61670","Trondelag","BR","BRB","BRB_2010","BRB_1_2010","Browsed","2010",2010,"Vaccinium myrtillus",2,0,0,0,0,4,0,0,5,0,0
"61671","Trondelag","BR","BRB","BRB_2010","BRB_1_2010","Browsed","2010",2010,"Vaccinium myrtillus",3,0,0,0,0,4,0,0,5,0,0
"61672","Trondelag","BR","BRB","BRB_2010","BRB_1_2010","Browsed","2010",2010,"Vaccinium myrtillus",4,0,0,0,0,4,0,0,6,0,0
"61673","Trondelag","BR","BRB","BRB_2010","BRB_1_2010","Browsed","2010",2010,"Vaccinium myrtillus",5,0,0,1,0,4,0,0,15,0,0
"61674","Trondelag","BR","BRB","BRB_2010","BRB_1_2010","Browsed","2010",2010,"Vaccinium myrtillus",6,0,0,1,0,4,0,0,5,0,0
"61675","Trondelag","BR","BRB","BRB_2010","BRB_1_2010","Browsed","2010",2010,"Vaccinium myrtillus",7,0,0,1,0,4,0,0,20,0,0
"61676","Trondelag","BR","BRB","BRB_2010","BRB_1_2010","Browsed","2010",2010,"Vaccinium myrtillus",8,0,0,1,0,4,0,0,16,0,0
"61677","Trondelag","BR","BRB","BRB_2010","BRB_1_2010","Browsed","2010",2010,"Vaccinium myrtillus",9,0,0,1,0,4,0,0,17,0,0
"61678","Trondelag","BR","BRB","BRB_2010","BRB_1_2010","Browsed","2010",2010,"Vaccinium myrtillus",10,0,0,1,0,4,0,0,20,0,0
"61681","Trondelag","BR","BRB","BRB_2012","BRB_1_2012","Browsed","2012",2012,"Vaccinium myrtillus",1,0,0,0,0,12,0,0,10,0,0
"61682","Trondelag","BR","BRB","BRB_2012","BRB_1_2012","Browsed","2012",2012,"Vaccinium myrtillus",2,0,0,0,0,12,0,0,7,0,0
"61683","Trondelag","BR","BRB","BRB_2012","BRB_1_2012","Browsed","2012",2012,"Vaccinium myrtillus",3,0,0,0,0,12,0,0,3,0,0
